,brand,milage,fuel_type,transmission,price,horsepower,engine_displacement,age
0,Ford,74349,Gasoline,10-Speed A/T,11000,3.5,375.0,6
1,BMW,80000,Gasoline,6-Speed M/T,8250,3.0,300.0,17
2,Jaguar,91491,Gasoline,6-Speed A/T,15000,4.2,300.0,15
3,BMW,2437,Hybrid,Transmission w/Dual Shift Mode,63500,3.0,335.0,2
4,Pontiac,111000,Gasoline,A/T,7850,3.8,200.0,23
5,Acura,124756,Gasoline,5-Speed M/T,4995,1.8,140.0,21
6,Audi,107380,Gasoline,7-Speed A/T,26500,3.0,333.0,10
7,GMC,51300,Gasoline,6-Speed A/T,25500,2.5,193.0,5
8,Audi,87842,Gasoline,7-Speed A/T,13999,2.0,200.0,8
9,Acura,152270,Gasoline,5-Speed A/T,6700,3.7,300.0,17
11,Chevrolet,92728,Gasoline,A/T,49900,5.3,355.0,7
12,Porsche,112000,Gasoline,A/T,40000,3.6,300.0,10
13,Audi,37000,Gasoline,A/T,28250,2.0,248.0,5
14,Mercedes-Benz,93500,Gasoline,A/T,23500,3.5,248.0,11
15,GMC,76296,Gasoline,6-Speed A/T,36800,2.4,182.0,6
18,GMC,116210,E85 Flex Fuel,Transmission Overdrive Switch,31900,6.0,360.0,9
20,GMC,61830,Gasoline,9-Speed Automatic,26485,1.5,331.6983232435877,4
21,Ford,75500,Gasoline,A/T,33500,3.5,310.0,11
22,Lincoln,106000,Gasoline,6-Speed A/T,9500,2.0,240.0,9
23,Ford,59500,Gasoline,A/T,36500,2.3,310.0,3
24,Dodge,53000,Gasoline,A/T,31300,3.6,303.0,8
25,Chevrolet,49000,Gasoline,7-Speed M/T,65000,6.2,650.0,8
27,Audi,115402,Gasoline,A/T,17000,3.0,310.0,12
28,Volkswagen,96000,Gasoline,6-Speed A/T,12000,1.4,150.0,9
29,Ford,92421,Diesel,6-Speed A/T,51900,6.7,440.0,9
30,Ford,111000,Gasoline,A/T,16999,2.5,169.0,9
31,BMW,9000,Hybrid,8-Speed A/T,50000,3.0,382.0,3
33,Audi,125575,Gasoline,8-Speed A/T,14999,2.0,211.0,12
34,Land,58100,Gasoline,A/T,36500,3.0,380.0,4
36,Ford,94000,Gasoline,Transmission w/Dual Shift Mode,10995,3.9,280.0,18
37,Mazda,25779,Gasoline,6-Speed Automatic,24995,2.5,331.6983232435877,4
38,Porsche,12454,Gasoline,6-Speed M/T,55000,4.0,500.0,8
39,RAM,25500,Hybrid,8-Speed A/T,53000,5.7,395.0,3
40,GMC,93000,Gasoline,A/T,35300,5.3,355.0,7
41,Land,15500,Gasoline,A/T,40000,4.4,523.0,1
42,Audi,90818,Gasoline,6-Speed A/T,8700,3.2,265.0,13
43,Subaru,160000,Gasoline,A/T,6250,2.0,152.0,14
44,Dodge,65000,Gasoline,M/T,29444,3.6,305.0,10
45,Maserati,80500,Gasoline,8-Speed A/T,29900,3.0,424.0,4
46,Ford,48054,Gasoline,A/T,8950,4.6,220.0,25
47,Hyundai,48613,Gasoline,8-Speed A/T,61500,3.8,291.0,4
48,MINI,79000,Gasoline,6-Speed M/T,8999,1.6,118.0,17
49,Ford,138415,Gasoline,A/T,15500,3.5,365.0,10
50,BMW,111000,Gasoline,A/T,17000,2.0,240.0,12
52,Land,85385,Gasoline,A/T,19977,5.0,375.0,11
53,Jeep,86250,Gasoline,5-Speed A/T,20900,3.6,285.0,7
54,Jeep,170000,Gasoline,5-Speed M/T,5500,4.0,190.0,20
55,Land,73101,Gasoline,8-Speed A/T,41599,3.0,380.0,6
56,Ford,85000,Diesel,6-Speed A/T,50000,6.7,450.0,5
57,Land,28000,Gasoline,A/T,41995,2.0,247.0,4
59,Lexus,16500,Gasoline,8-Speed A/T,34000,3.5,311.0,2
60,BMW,40000,Gasoline,8-Speed A/T,28499,3.0,300.0,6
61,Audi,72000,Gasoline,8-Speed A/T,41500,3.0,354.0,6
62,Mercedes-Benz,88000,Gasoline,A/T,13500,3.5,302.0,11
63,Ford,108045,Gasoline,6-Speed A/T,9500,2.0,132.0,12
64,Jeep,24500,Gasoline,A/T,39500,3.6,285.0,2
65,Audi,98313,Gasoline,6-Speed A/T,4999,2.0,211.0,13
66,BMW,66500,Gasoline,6-Speed M/T,19500,4.0,420.0,15
67,Ford,114323,Gasoline,6-Speed A/T,6000,2.5,175.0,14
68,Hyundai,135000,Gasoline,A/T,3999,2.4,168.0,13
69,Hyundai,60000,Gasoline,8-Speed A/T,17000,3.8,348.0,9
70,Jeep,110000,Gasoline,A/T,8700,3.8,202.0,12
71,Mercedes-Benz,79950,Gasoline,7-Speed A/T,21000,3.5,302.0,10
73,Ford,95000,Gasoline,6-Speed M/T,24999,5.0,435.0,8
74,Honda,81500,Gasoline,A/T,15599,2.0,240.0,21
75,BMW,36700,Gasoline,Transmission w/Dual Shift Mode,48990,4.4,567.0,6
76,Jeep,123720,Gasoline,5-Speed M/T,11500,3.9,175.0,22
77,Ford,18465,Gasoline,Transmission w/Dual Shift Mode,47500,3.5,400.0,2
79,Tesla,5844,Gasoline,A/T,52000,3.716927534611586,425.0,1
80,Jeep,65212,Gasoline,5-Speed Automatic,37995,3.6,331.6983232435877,7
81,Hummer,145000,Gasoline,A/T,5995,6.0,325.0,19
82,Mercedes-Benz,70500,Gasoline,Transmission w/Dual Shift Mode,17000,3.0,385.0,7
83,Mazda,113000,Gasoline,6-Speed A/T,9999,2.3,244.0,17
84,Mercedes-Benz,130000,Gasoline,7-Speed A/T,9900,4.7,335.0,16
85,Nissan,190120,Gasoline,CVT Transmission,12900,3.5,240.0,17
86,Volkswagen,86000,Gasoline,6-Speed M/T,9995,2.0,200.0,19
87,Mercedes-Benz,32000,Gasoline,9-Speed A/T,34000,2.0,241.0,6
88,Land,159500,Gasoline,A/T,24900,3.0,340.0,11
89,Chevrolet,139000,Gasoline,A/T,19500,3.6,304.0,12
90,Land,72500,Gasoline,6-Speed A/T,19550,2.0,240.0,9
91,Audi,125000,Gasoline,A/T,4500,2.0,211.0,12
92,Nissan,96000,Gasoline,A/T,15000,3.5,260.0,12
94,Audi,38718,Gasoline,7-Speed A/T,31000,3.0,333.0,12
95,Lincoln,54000,Gasoline,6-Speed A/T,16000,3.7,300.0,8
96,Nissan,105000,Gasoline,A/T,13300,3.5,255.0,17
97,Toyota,74000,Gasoline,6-Speed A/T,36000,5.7,381.0,8
98,Subaru,36000,Gasoline,Transmission w/Dual Shift Mode,36000,2.4,228.0,8
99,Nissan,106000,Gasoline,5-Speed M/T,6700,2.4,150.0,21
100,Audi,52000,Gasoline,6-Speed A/T,33000,2.0,250.0,6
102,BMW,43000,Gasoline,8-Speed A/T,39990,2.0,248.0,5
104,BMW,125500,Gasoline,A/T,3950,4.4,282.0,19
105,Porsche,2015,Gasoline,Transmission w/Dual Shift Mode,47500,2.9,325.0,2
106,Chevrolet,148800,Gasoline,A/T,9000,3.8,240.0,19
107,Lexus,59715,Hybrid,10-Speed A/T,14699,3.4,437.0,1
108,Audi,72922,Gasoline,7-Speed A/T,29999,2.0,211.0,8
109,RAM,57300,Gasoline,8-Speed A/T,43500,5.7,395.0,3
110,Mercedes-Benz,17900,Gasoline,9-Speed A/T,34000,2.0,255.0,3
111,Volvo,257700,Gasoline,6-Speed M/T,8000,2.5,218.0,20
112,Ford,22270,Gasoline,10-Speed Automatic,59950,5.0,331.6983232435877,3
113,Genesis,69548,Gasoline,8-Speed A/T,26999,3.8,311.0,7
114,Ford,97700,Diesel,6-Speed A/T,45000,6.7,450.0,5
115,Ford,8911,Gasoline,10-Speed Automatic,59203,3.5,331.6983232435877,2
116,Jeep,86250,Gasoline,5-Speed A/T,34000,3.6,285.0,6
117,BMW,89144,Gasoline,8-Speed A/T,13999,3.0,300.0,9
118,Audi,16900,Hybrid,8-Speed A/T,30000,3.0,335.0,5
120,Porsche,66250,Gasoline,A/T,34900,3.0,330.0,6
121,Toyota,110000,Gasoline,6-Speed A/T,11800,5.7,381.0,14
122,Dodge,124705,E85 Flex Fuel,A/T,6499,3.6,283.0,10
123,Cadillac,68425,Gasoline,6-Speed A/T,23500,3.5,279.0,8
124,Chevrolet,110000,Gasoline,6-Speed A/T,9000,1.4,138.0,12
125,BMW,60000,Gasoline,A/T,37000,3.0,335.0,3
126,Jaguar,59203,Gasoline,Transmission w/Dual Shift Mode,17599,2.0,247.0,5
127,Chevrolet,106385,Gasoline,6-Speed A/T,19500,5.3,355.0,7
128,BMW,24108,Gasoline,8-Speed A/T,29500,2.0,247.0,4
129,Mercedes-Benz,120800,Gasoline,A/T,11500,3.5,302.0,11
130,Honda,124250,Gasoline,A/T,8550,2.0,158.0,9
131,Mitsubishi,122000,Gasoline,CVT Transmission,37900,2.4,168.0,13
133,Lexus,123500,Gasoline,A/T,12500,4.7,263.0,16
134,Chevrolet,191900,E85 Flex Fuel,A/T,12850,5.3,310.0,17
135,Jeep,121800,Gasoline,M/T,4300,2.5,120.0,22
136,Mercedes-Benz,63300,Gasoline,7-Speed A/T,22800,4.7,429.0,9
137,Genesis,84200,Gasoline,A/T,21800,2.5,300.0,8
138,BMW,73500,Gasoline,Transmission w/Dual Shift Mode,32250,3.0,300.0,7
139,Toyota,51000,Gasoline,Transmission w/Dual Shift Mode,51000,3.5,295.0,2
140,Toyota,69641,Hybrid,CVT Transmission,42850,2.5,208.0,5
141,Toyota,40000,Gasoline,A/T,34999,3.5,295.0,4
142,Ford,68750,Gasoline,A/T,47000,3.5,440.0,4
143,Porsche,52000,Gasoline,7-Speed A/T,37500,3.4,325.0,10
145,Land,60000,Gasoline,A/T,63000,2.0,247.0,6
146,Ford,87500,Gasoline,A/T,26900,3.5,310.0,11
147,Kia,100730,Gasoline,A/T,8900,2.4,173.0,16
148,Acura,170900,Gasoline,A/T,6500,3.7,300.0,15
149,Hyundai,165454,Gasoline,A/T,16800,3.8,344.0,11
150,BMW,126700,Gasoline,6-Speed M/T,15000,2.0,240.0,9
151,Honda,111300,Gasoline,A/T,15500,2.0,158.0,16
152,Toyota,65000,Gasoline,A/T,55000,4.0,270.0,14
153,Audi,47144,Gasoline,8-Speed A/T,26000,2.0,292.0,6
154,Land,99915,Gasoline,A/T,18500,3.0,340.0,8
