brand,milage,fuel_type,transmission,price,horsepower,engine_displacement,age
14,74349,4,3,11000,3.5,375.0,6
5,80000,4,19,8250,3.0,300.0,17
21,91491,4,15,15000,4.2,300.0,15
5,2437,5,42,63500,3.0,335.0,2
39,111000,4,33,7850,3.8,200.0,23
1,124756,4,11,4995,1.8,140.0,21
4,107380,4,21,26500,3.0,333.0,10
15,51300,4,15,25500,2.5,193.0,5
4,87842,4,21,13999,2.0,200.0,8
1,152270,4,9,6700,3.7,300.0,17
9,92728,4,33,49900,5.3,355.0,7
40,112000,4,33,40000,3.6,300.0,10
4,37000,4,33,28250,2.0,248.0,5
34,93500,4,33,23500,3.5,248.0,11
15,76296,4,15,36800,2.4,182.0,6
15,116210,2,41,31900,6.0,360.0,9
15,61830,4,32,26485,1.5,331.6983232435877,4
14,75500,4,33,33500,3.5,310.0,11
27,106000,4,15,9500,2.0,240.0,9
14,59500,4,33,36500,2.3,310.0,3
11,53000,4,33,31300,3.6,303.0,8
9,49000,4,25,65000,6.2,650.0,8
4,115402,4,33,17000,3.0,310.0,12
50,96000,4,15,12000,1.4,150.0,9
14,92421,1,15,51900,6.7,440.0,9
14,111000,4,33,16999,2.5,169.0,9
5,9000,5,27,50000,3.0,382.0,3
4,125575,4,27,14999,2.0,211.0,12
25,58100,4,33,36500,3.0,380.0,4
14,94000,4,42,10995,3.9,280.0,18
32,25779,4,16,24995,2.5,331.6983232435877,4
40,12454,4,19,55000,4.0,500.0,8
41,25500,5,27,53000,5.7,395.0,3
15,93000,4,33,35300,5.3,355.0,7
25,15500,4,33,40000,4.4,523.0,1
4,90818,4,15,8700,3.2,265.0,13
46,160000,4,33,6250,2.0,152.0,14
11,65000,4,39,29444,3.6,305.0,10
30,80500,4,27,29900,3.0,424.0,4
14,48054,4,33,8950,4.6,220.0,25
19,48613,4,27,61500,3.8,291.0,4
29,79000,4,19,8999,1.6,118.0,17
14,138415,4,33,15500,3.5,365.0,10
5,111000,4,33,17000,2.0,240.0,12
25,85385,4,33,19977,5.0,375.0,11
22,86250,4,9,20900,3.6,285.0,7
22,170000,4,11,5500,4.0,190.0,20
25,73101,4,27,41599,3.0,380.0,6
14,85000,1,15,50000,6.7,450.0,5
25,28000,4,33,41995,2.0,247.0,4
26,16500,4,27,34000,3.5,311.0,2
5,40000,4,27,28499,3.0,300.0,6
4,72000,4,27,41500,3.0,354.0,6
34,88000,4,33,13500,3.5,302.0,11
14,108045,4,15,9500,2.0,132.0,12
22,24500,4,33,39500,3.6,285.0,2
4,98313,4,15,4999,2.0,211.0,13
5,66500,4,19,19500,4.0,420.0,15
14,114323,4,15,6000,2.5,175.0,14
19,135000,4,33,3999,2.4,168.0,13
19,60000,4,27,17000,3.8,348.0,9
22,110000,4,33,8700,3.8,202.0,12
34,79950,4,21,21000,3.5,302.0,10
14,95000,4,19,24999,5.0,435.0,8
17,81500,4,33,15599,2.0,240.0,21
5,36700,4,42,48990,4.4,567.0,6
22,123720,4,11,11500,3.9,175.0,22
14,18465,4,42,47500,3.5,400.0,2
48,5844,4,33,52000,3.716927534611586,425.0,1
22,65212,4,10,37995,3.6,331.6983232435877,7
18,145000,4,33,5995,6.0,325.0,19
34,70500,4,42,17000,3.0,385.0,7
32,113000,4,15,9999,2.3,244.0,17
34,130000,4,21,9900,4.7,335.0,16
37,190120,4,36,12900,3.5,240.0,17
50,86000,4,19,9995,2.0,200.0,19
34,32000,4,31,34000,2.0,241.0,6
25,159500,4,33,24900,3.0,340.0,11
9,139000,4,33,19500,3.6,304.0,12
25,72500,4,15,19550,2.0,240.0,9
4,125000,4,33,4500,2.0,211.0,12
37,96000,4,33,15000,3.5,260.0,12
4,38718,4,21,31000,3.0,333.0,12
27,54000,4,15,16000,3.7,300.0,8
37,105000,4,33,13300,3.5,255.0,17
49,74000,4,15,36000,5.7,381.0,8
46,36000,4,42,36000,2.4,228.0,8
37,106000,4,11,6700,2.4,150.0,21
4,52000,4,15,33000,2.0,250.0,6
5,43000,4,27,39990,2.0,248.0,5
5,125500,4,33,3950,4.4,282.0,19
40,2015,4,42,47500,2.9,325.0,2
9,148800,4,33,9000,3.8,240.0,19
26,59715,5,3,14699,3.4,437.0,1
4,72922,4,21,29999,2.0,211.0,8
41,57300,4,27,43500,5.7,395.0,3
34,17900,4,31,34000,2.0,255.0,3
51,257700,4,19,8000,2.5,218.0,20
14,22270,4,4,59950,5.0,331.6983232435877,3
16,69548,4,27,26999,3.8,311.0,7
14,97700,1,15,45000,6.7,450.0,5
14,8911,4,4,59203,3.5,331.6983232435877,2
22,86250,4,9,34000,3.6,285.0,6
5,89144,4,27,13999,3.0,300.0,9
4,16900,5,27,30000,3.0,335.0,5
40,66250,4,33,34900,3.0,330.0,6
49,110000,4,15,11800,5.7,381.0,14
11,124705,2,33,6499,3.6,283.0,10
8,68425,4,15,23500,3.5,279.0,8
9,110000,4,15,9000,1.4,138.0,12
5,60000,4,33,37000,3.0,335.0,3
21,59203,4,42,17599,2.0,247.0,5
9,106385,4,15,19500,5.3,355.0,7
5,24108,4,27,29500,2.0,247.0,4
34,120800,4,33,11500,3.5,302.0,11
17,124250,4,33,8550,2.0,158.0,9
36,122000,4,36,37900,2.4,168.0,13
26,123500,4,33,12500,4.7,263.0,16
9,191900,2,33,12850,5.3,310.0,17
22,121800,4,39,4300,2.5,120.0,22
34,63300,4,21,22800,4.7,429.0,9
16,84200,4,33,21800,2.5,300.0,8
5,73500,4,42,32250,3.0,300.0,7
49,51000,4,42,51000,3.5,295.0,2
49,69641,5,36,42850,2.5,208.0,5
49,40000,4,33,34999,3.5,295.0,4
14,68750,4,33,47000,3.5,440.0,4
40,52000,4,21,37500,3.4,325.0,10
25,60000,4,33,63000,2.0,247.0,6
14,87500,4,33,26900,3.5,310.0,11
23,100730,4,33,8900,2.4,173.0,16
1,170900,4,33,6500,3.7,300.0,15
19,165454,4,33,16800,3.8,344.0,11
5,126700,4,19,15000,2.0,240.0,9
17,111300,4,33,15500,2.0,158.0,16
49,65000,4,33,55000,4.0,270.0,14
4,47144,4,27,26000,2.0,292.0,6
25,99915,4,33,18500,3.0,340.0,8
17,54000,4,39,15363,2.0,240.0,20
34,93000,4,33,11999,5.5,493.0,17
27,42000,4,9,15999,3.9,252.0,22
5,48000,4,27,41995,3.0,335.0,5
49,269885,4,15,47500,5.7,381.0,12
5,87248,4,33,22999,3.0,300.0,11
18,106000,4,15,15000,3.7,242.0,18
11,134602,4,33,4500,3.5,250.0,19
11,134000,4,33,13500,3.7,210.0,16
49,89400,4,33,26900,5.7,381.0,14
23,11100,4,42,40200,2.5,281.0,1
22,52000,4,15,17500,2.4,180.0,7
34,45000,4,33,54500,4.0,416.0,4
5,15000,5,27,59000,3.0,335.0,2
4,102370,4,33,34500,3.0,333.0,7
7,68750,4,33,32500,2.5,197.0,5
22,72843,4,9,31599,3.6,285.0,8
26,12055,4,33,42999,3.5,295.0,2
32,61874,4,16,41927,2.5,331.6983232435877,3
34,149465,4,21,18800,5.5,382.0,19
14,17300,4,33,45000,2.3,310.0,3
7,18185,4,32,43250,2.5,331.6983232435877,3
15,107000,4,33,11900,3.5,270.0,9
4,72865,4,42,54900,3.0,349.0,6
4,50000,4,27,26999,2.0,248.0,5
41,51105,4,28,38880,5.7,331.6983232435877,4
9,215000,4,33,21500,5.3,355.0,8
11,114000,4,33,10700,5.7,345.0,14
17,83765,4,19,22450,2.0,240.0,14
22,24850,4,33,50000,3.6,285.0,2
49,67400,2,33,29500,5.7,381.0,8
4,24500,4,27,38000,2.0,248.0,3
4,67900,5,42,37500,3.0,335.0,7
41,26177,4,33,47500,5.7,395.0,5
9,8660,4,27,45000,6.2,455.0,5
46,122000,4,11,14999,2.5,210.0,10
9,58800,4,33,10000,5.7,310.0,22
14,63250,4,15,18650,3.9,280.0,10
25,119000,4,15,12500,3.0,340.0,12
40,67522,4,33,51500,3.4,350.0,8
9,61000,4,27,53000,6.2,455.0,7
23,10101,6,15,27900,1.6,261.0,4
37,27598,4,32,49273,5.6,331.6983232435877,3
5,41000,5,27,57999,3.0,335.0,3
9,11250,4,19,30000,6.2,455.0,7
34,35400,4,21,26900,5.0,302.0,20
5,44000,4,42,44900,3.0,425.0,9
26,110000,4,33,15000,3.5,272.0,15
22,144770,4,7,6500,3.8,202.0,16
22,8794,4,33,63000,3.6,285.0,2
5,38000,4,42,34500,2.0,240.0,9
34,47400,4,21,23900,6.3,518.0,10
14,66281,1,3,64900,6.7,450.0,6
5,126000,4,33,12700,3.0,326.0,12
20,50000,4,19,26800,3.7,328.0,23
5,37000,4,27,50000,3.0,335.0,4
51,60000,4,27,40750,2.0,316.0,6
34,90400,4,9,10199,4.7,335.0,17
29,136500,4,15,5999,1.6,181.0,13
26,132000,4,15,17000,4.3,278.0,18
4,87500,4,33,17900,2.0,211.0,10
4,118500,4,33,5800,2.0,220.0,6
32,80124,4,16,21373,2.5,331.6983232435877,6
17,169802,4,33,5200,1.8,140.0,17
34,90400,4,33,17000,4.7,335.0,11
5,58600,4,27,36500,3.0,335.0,5
34,121000,4,9,40999,5.0,302.0,21
5,34300,4,27,29998,4.4,445.0,7
14,63460,4,19,25215,5.0,435.0,10
5,62500,4,42,28000,3.0,425.0,9
7,51351,4,32,33295,3.6,331.6983232435877,3
40,50000,4,42,32000,3.6,400.0,8
4,71280,4,27,17999,3.0,340.0,8
49,169000,4,15,6500,2.0,200.0,16
9,139000,4,19,5199,3.6,312.0,13
8,71962,4,28,26600,3.6,331.6983232435877,6
23,41000,4,33,42500,4.0,261.0,3
34,67800,4,21,19500,3.5,268.0,8
4,30000,5,42,48000,3.0,335.0,3
25,29500,4,33,34900,2.0,247.0,5
4,33000,5,33,59900,3.0,335.0,4
34,2284,4,32,44999,2.0,331.6983232435877,2
34,64549,4,21,22500,3.5,248.0,11
5,89000,4,33,12800,3.0,300.0,10
14,61773,4,3,44700,3.5,400.0,6
14,207100,4,33,4199,4.6,292.0,19
34,59700,4,21,29000,5.5,382.0,13
1,116000,4,42,11500,2.4,201.0,14
41,44000,4,27,46500,5.7,395.0,3
11,7751,4,42,46000,5.7,370.0,3
14,53782,4,42,48000,5.0,460.0,6
9,56000,4,42,44800,6.0,400.0,14
40,91140,4,21,17900,2.5,350.0,8
49,24915,4,16,13715,3.5,331.6983232435877,10
49,35000,4,42,17500,2.7,159.0,11
9,26000,4,15,32000,5.3,355.0,7
22,33060,4,27,47500,3.6,285.0,4
5,71280,4,33,15900,3.0,300.0,11
37,27989,4,36,29500,1.6,188.0,12
25,18000,4,42,48000,5.0,575.0,6
37,145000,4,33,7850,3.5,284.0,7
22,141485,4,33,6500,3.7,210.0,15
5,110000,4,15,9400,3.0,230.0,13
20,110000,4,42,11000,3.5,306.0,9
22,185000,4,33,7100,2.4,180.0,8
8,48613,4,27,55999,6.2,420.0,4
26,102000,4,42,38500,4.6,380.0,16
4,87500,4,15,27995,2.0,220.0,8
30,53500,4,27,35999,3.0,404.0,6
45,95426,4,33,6500,2.4,158.0,15
5,104000,4,27,20900,3.0,300.0,12
29,128000,4,15,7500,1.6,181.0,12
5,125500,4,15,12000,2.0,240.0,9
9,44800,4,33,51500,5.3,355.0,5
40,97500,4,33,16999,4.8,400.0,10
9,53100,4,33,14900,2.4,169.0,15
34,115000,4,42,29000,4.6,429.0,11
34,83112,4,31,17999,3.5,302.0,7
50,102750,4,19,17999,2.0,292.0,11
14,81648,4,4,28991,3.5,331.6983232435877,6
4,69700,4,27,19500,2.0,211.0,12
9,57800,4,15,17900,6.0,345.0,18
19,45303,4,19,19500,3.8,306.0,14
9,12500,4,42,54000,6.2,490.0,3
26,67645,4,15,59500,4.6,301.0,6
34,76850,4,21,42800,4.7,429.0,10
22,23588,4,28,26772,3.6,331.6983232435877,3
25,152000,4,15,6500,3.2,230.0,16
14,161000,2,15,17500,3.5,290.0,7
15,79615,2,33,28000,6.0,342.0,12
36,16000,4,7,6500,3.0,200.0,23
40,60000,4,42,19500,4.8,400.0,11
46,133300,4,36,3000,2.5,175.0,13
26,103748,4,27,17000,4.6,386.0,9
8,8044,4,15,41927,6.2,420.0,3
9,87500,4,33,20000,5.3,300.0,17
4,34068,5,42,46900,3.0,335.0,5
25,58000,4,42,25000,3.0,380.0,6
15,162731,4,33,24995,5.3,355.0,8
8,134000,4,27,32999,6.2,420.0,7
14,55000,1,15,40500,6.7,450.0,5
9,153000,2,15,18000,5.3,320.0,12
5,10376,4,42,33600,4.4,567.0,2
5,74000,4,11,4800,2.5,184.0,21
25,35580,4,28,49500,5.0,331.6983232435877,6
5,69000,4,27,30999,3.0,300.0,6
26,41000,4,33,56000,3.5,295.0,3
4,29000,4,27,42900,2.0,248.0,3
14,24000,4,15,21500,3.5,365.0,10
